,Transaction ID,Price Per Unit,Quantity,Total Spent,Item,Transaction Date,Payment Method,Location
97,TXN_1094145,1.0,3.0,3.0,Cookie,2023-03-15,Credit Card,Takeaway
98,TXN_1094479,3.0,3.0,9.0,Cake,2023-06-08,Cash,In-store
99,TXN_1096690,4.0,5.0,20.0,Smoothie,2023-10-09,Credit Card,In-store
100,TXN_1097334,2.0,2.0,4.0,Coffee,2023-03-21,Credit Card,Takeaway
101,TXN_1099119,4.0,4.0,16.0,Smoothie,2023-02-09,Cash,In-store
102,TXN_1101527,4.0,5.0,20.0,Smoothie,2023-04-20,Digital Wallet,In-store
103,TXN_1102876,1.0,1.0,1.0,Cookie,2023-04-20,Cash,Takeaway
104,TXN_1103495,3.0,1.0,3.0,Juice,2023-04-20,Cash,Takeaway
105,TXN_1103883,1.0,5.0,5.0,Cookie,2023-08-09,Credit Card,Takeaway
106,TXN_1104849,4.0,4.0,16.0,Sandwich,2023-07-05,Digital Wallet,Takeaway
107,TXN_1105589,2.0,5.0,10.0,Coffee,2023-07-04,Cash,Takeaway
108,TXN_1108326,3.0,2.0,6.0,Cake,2023-07-04,Cash,Takeaway
109,TXN_1108663,3.0,3.0,9.0,Juice,2023-08-16,Cash,Takeaway
110,TXN_1109715,3.0,1.0,3.0,Cake,2023-07-15,Cash,In-store
111,TXN_1116119,4.0,4.0,16.0,Smoothie,2023-08-07,Digital Wallet,In-store
112,TXN_1118799,4.0,4.0,16.0,Sandwich,2023-09-19,Credit Card,Takeaway
113,TXN_1120969,2.0,2.0,4.0,Coffee,2023-04-15,Credit Card,Takeaway
114,TXN_1121833,2.0,4.0,8.0,Coffee,2023-03-16,Credit Card,In-store
115,TXN_1122140,4.0,4.0,16.0,Sandwich,2023-06-19,Cash,In-store
116,TXN_1122699,5.0,5.0,25.0,Salad,2023-10-14,Digital Wallet,In-store
117,TXN_1122700,5.0,5.0,25.0,Salad,2023-11-09,Digital Wallet,In-store
118,TXN_1123138,5.0,1.0,5.0,Salad,2023-02-10,Cash,In-store
119,TXN_1123346,1.5,3.0,4.5,Tea,2023-07-31,Digital Wallet,In-store
120,TXN_1124311,1.0,1.0,1.0,Cookie,2023-05-05,Cash,Takeaway
121,TXN_1124655,5.0,3.0,15.0,Salad,2023-10-23,Cash,In-store
122,TXN_1124753,5.0,4.0,20.0,Salad,2023-10-19,Digital Wallet,In-store
123,TXN_1124796,1.5,5.0,7.5,Tea,2023-10-28,Credit Card,In-store
124,TXN_1124900,4.0,4.0,16.0,Sandwich,2023-09-08,Credit Card,In-store
125,TXN_1128577,4.0,1.0,4.0,Sandwich,2023-11-23,Digital Wallet,In-store
126,TXN_1130142,1.0,1.0,1.0,Cookie,2023-03-13,Credit Card,In-store
127,TXN_1130191,4.0,2.0,8.0,Smoothie,2023-04-06,Cash,In-store
128,TXN_1131785,4.0,1.0,4.0,Sandwich,2023-12-19,Cash,In-store
129,TXN_1132293,1.5,4.0,6.0,Tea,2023-07-05,Digital Wallet,In-store
130,TXN_1132566,3.0,3.0,9.0,Cake,2023-02-27,Cash,Takeaway
131,TXN_1133945,4.0,2.0,8.0,Smoothie,2023-10-23,Digital Wallet,In-store
132,TXN_1135215,4.0,3.0,12.0,Sandwich,2023-04-10,Credit Card,In-store
133,TXN_1135761,3.0,3.0,9.0,Juice,2023-01-30,Digital Wallet,In-store
134,TXN_1136554,4.0,3.0,12.0,Smoothie,2023-03-26,Digital Wallet,Takeaway
135,TXN_1139495,5.0,3.0,15.0,Salad,2023-02-19,Digital Wallet,In-store
136,TXN_1141405,1.0,1.0,1.0,Cookie,2023-02-19,Digital Wallet,Takeaway
137,TXN_1141920,2.0,4.0,8.0,Coffee,2023-10-26,Digital Wallet,Takeaway
138,TXN_1142233,1.5,5.0,7.5,Tea,2023-09-01,Digital Wallet,Takeaway
139,TXN_1145592,3.0,1.0,3.0,Juice,2023-09-11,Credit Card,Takeaway
140,TXN_1145888,2.0,4.0,8.0,Coffee,2023-01-26,Digital Wallet,Takeaway
141,TXN_1148060,1.0,5.0,5.0,Cookie,2023-10-12,Cash,Takeaway
142,TXN_1148874,1.0,1.0,1.0,Cookie,2023-09-18,Credit Card,In-store
143,TXN_1148945,2.0,1.0,2.0,Coffee,2023-09-05,Digital Wallet,Takeaway
144,TXN_1149624,3.0,3.0,9.0,Cake,2023-09-14,Cash,Takeaway
145,TXN_1150033,3.0,5.0,15.0,Juice,2023-04-18,Cash,In-store
146,TXN_1151605,2.0,1.0,2.0,Coffee,2023-05-02,Digital Wallet,Takeaway
147,TXN_1152249,4.0,3.0,12.0,Smoothie,2023-05-09,Digital Wallet,In-store
148,TXN_1153869,4.0,5.0,20.0,Smoothie,2023-11-03,Credit Card,Takeaway
149,TXN_1154979,2.0,3.0,6.0,Coffee,2023-12-11,Credit Card,In-store
150,TXN_1157817,4.0,1.0,4.0,Smoothie,2023-04-25,Digital Wallet,In-store
151,TXN_1158197,2.0,2.0,4.0,Coffee,2023-05-21,Digital Wallet,Takeaway
152,TXN_1158829,1.5,1.0,1.5,Tea,2023-10-02,Credit Card,In-store
153,TXN_1161606,4.0,5.0,20.0,Sandwich,2023-09-20,Credit Card,Takeaway
154,TXN_1165762,2.0,3.0,6.0,Coffee,2023-10-22,Credit Card,Takeaway
155,TXN_1165779,1.0,4.0,4.0,Cookie,2023-06-30,Digital Wallet,Takeaway
156,TXN_1166001,3.0,5.0,15.0,Juice,2023-06-30,Cash,In-store
157,TXN_1169615,4.0,5.0,20.0,Smoothie,2023-03-16,Digital Wallet,In-store
158,TXN_1170198,1.5,4.0,6.0,Tea,2023-02-09,Credit Card,In-store
159,TXN_1170807,4.0,5.0,20.0,Smoothie,2023-09-15,Digital Wallet,In-store
160,TXN_1171080,4.0,3.0,12.0,Sandwich,2023-07-29,Credit Card,In-store
161,TXN_1171281,2.0,2.0,4.0,Coffee,2023-02-06,Digital Wallet,Takeaway
162,TXN_1172121,2.0,5.0,10.0,Coffee,2023-08-26,Cash,Takeaway
163,TXN_1173155,2.0,1.0,2.0,Coffee,2023-03-14,Cash,In-store
164,TXN_1177438,5.0,4.0,20.0,Salad,2023-08-21,Cash,Takeaway
165,TXN_1180397,4.0,3.0,12.0,Smoothie,2023-04-05,Credit Card,Takeaway
166,TXN_1180623,4.0,5.0,20.0,Sandwich,2023-09-23,Credit Card,In-store
167,TXN_1180969,1.0,1.0,1.0,Cookie,2023-01-06,Digital Wallet,In-store
168,TXN_1181626,1.0,4.0,4.0,Cookie,2023-02-06,Digital Wallet,Takeaway
169,TXN_1183208,4.0,5.0,20.0,Smoothie,2023-08-26,Digital Wallet,In-store
170,TXN_1183212,3.0,4.0,12.0,Juice,2023-06-30,Digital Wallet,In-store
171,TXN_1183995,5.0,5.0,25.0,Salad,2023-03-28,Digital Wallet,Takeaway
172,TXN_1184377,3.0,1.0,3.0,Juice,2023-10-25,Cash,In-store
173,TXN_1184715,3.0,2.0,6.0,Cake,2023-09-10,Cash,Takeaway
174,TXN_1185003,3.0,5.0,15.0,Juice,2023-01-06,Cash,Takeaway
175,TXN_1185069,5.0,1.0,5.0,Salad,2023-02-21,Digital Wallet,In-store
176,TXN_1185118,3.0,5.0,15.0,Juice,2023-02-21,Digital Wallet,In-store
177,TXN_1185156,4.0,4.0,16.0,Smoothie,2023-03-23,Digital Wallet,Takeaway
178,TXN_1186221,5.0,4.0,20.0,Salad,2023-04-21,Cash,Takeaway
179,TXN_1188551,2.0,2.0,4.0,Coffee,2023-03-20,Digital Wallet,Takeaway
180,TXN_1188596,3.0,1.0,3.0,Juice,2023-10-24,Cash,In-store
181,TXN_1190151,3.0,5.0,15.0,Juice,2023-08-14,Digital Wallet,In-store
182,TXN_1190402,3.0,1.0,3.0,Cake,2023-12-01,Credit Card,Takeaway
183,TXN_1191068,5.0,1.0,5.0,Salad,2023-05-19,Cash,In-store
184,TXN_1191659,2.0,4.0,8.0,Coffee,2023-11-21,Credit Card,In-store
185,TXN_1192009,2.0,1.0,2.0,Coffee,2023-05-18,Digital Wallet,Takeaway
186,TXN_1192970,2.0,2.0,4.0,Coffee,2023-06-17,Digital Wallet,Takeaway
187,TXN_1193221,1.5,3.0,4.5,Tea,2023-10-21,Credit Card,In-store
188,TXN_1193551,1.0,1.0,1.0,Cookie,2023-01-07,Digital Wallet,Takeaway
189,TXN_1193809,1.5,3.0,4.5,Tea,2023-01-21,Digital Wallet,In-store
190,TXN_1193930,2.0,1.0,2.0,Coffee,2023-01-21,Cash,Takeaway
191,TXN_1196223,3.0,3.0,9.0,Juice,2023-10-14,Digital Wallet,In-store
192,TXN_1196324,1.5,4.0,6.0,Tea,2023-09-26,Credit Card,In-store
193,TXN_1196923,4.0,2.0,8.0,Smoothie,2023-04-27,Digital Wallet,In-store
194,TXN_1197495,3.0,5.0,15.0,Juice,2023-04-27,Digital Wallet,Takeaway
195,TXN_1197536,5.0,3.0,15.0,Salad,2023-10-02,Cash,Takeaway
196,TXN_1199898,4.0,1.0,4.0,Smoothie,2023-10-26,Credit Card,In-store
197,TXN_1200795,4.0,1.0,4.0,Sandwich,2023-08-18,Credit Card,In-store
198,TXN_1203191,2.0,5.0,10.0,Coffee,2023-10-12,Digital Wallet,In-store
199,TXN_1203954,4.0,1.0,4.0,Sandwich,2023-08-12,Digital Wallet,In-store
200,TXN_1204426,4.0,3.0,12.0,Sandwich,2023-01-16,Credit Card,In-store
201,TXN_1205020,1.5,5.0,7.5,Tea,2023-10-03,Cash,In-store
202,TXN_1205522,3.0,5.0,15.0,Cake,2023-12-26,Cash,In-store
203,TXN_1205610,1.0,2.0,2.0,Cookie,2023-07-19,Digital Wallet,In-store
204,TXN_1205773,5.0,5.0,25.0,Salad,2023-01-27,Cash,In-store
205,TXN_1206585,1.5,2.0,3.0,Tea,2023-06-29,Cash,In-store
206,TXN_1208561,3.0,3.0,20.0,Juice,2023-08-19,Credit Card,In-store
207,TXN_1208926,1.0,4.0,4.0,Cookie,2023-12-07,Credit Card,In-store
208,TXN_1209852,1.0,2.0,2.0,Cookie,2023-11-18,Credit Card,In-store
209,TXN_1210058,1.5,5.0,7.5,Tea,2023-11-25,Digital Wallet,In-store
210,TXN_1210183,1.5,3.0,4.5,Tea,2023-01-23,Digital Wallet,In-store
211,TXN_1212652,3.0,3.0,9.0,Juice,2023-01-30,Credit Card,In-store
212,TXN_1213938,5.0,5.0,25.0,Salad,2023-07-06,Digital Wallet,Takeaway
213,TXN_1214868,3.0,4.0,12.0,Juice,2023-07-30,Cash,In-store
214,TXN_1216051,3.0,4.0,12.0,Cake,2023-10-28,Digital Wallet,Takeaway
215,TXN_1217810,1.0,1.0,1.0,Cookie,2023-07-06,Digital Wallet,Takeaway
216,TXN_1217959,3.0,2.0,6.0,Juice,2023-07-28,Digital Wallet,Takeaway
217,TXN_1218016,1.5,3.0,4.5,Tea,2023-11-26,Digital Wallet,In-store
218,TXN_1220061,4.0,3.0,12.0,Sandwich,2023-09-03,Digital Wallet,In-store
219,TXN_1221777,2.0,3.0,6.0,Coffee,2023-01-29,Digital Wallet,In-store
220,TXN_1221801,4.0,2.0,8.0,Smoothie,2023-06-17,Digital Wallet,In-store
221,TXN_1222338,1.0,1.0,1.0,Cookie,2023-10-11,Digital Wallet,In-store
222,TXN_1223805,3.0,3.0,9.0,Juice,2023-07-04,Digital Wallet,In-store
223,TXN_1224087,2.0,5.0,10.0,Coffee,2023-03-20,Digital Wallet,Takeaway
224,TXN_1225638,3.0,4.0,12.0,Cake,2023-05-28,Cash,Takeaway
225,TXN_1226662,5.0,1.0,5.0,Salad,2023-06-17,Cash,In-store
226,TXN_1227800,3.0,3.0,9.0,Juice,2023-02-19,Cash,Takeaway
227,TXN_1228474,4.0,4.0,16.0,Smoothie,2023-11-20,Digital Wallet,In-store
228,TXN_1228652,5.0,1.0,5.0,Salad,2023-07-24,Cash,In-store
229,TXN_1228888,1.0,1.0,1.0,Cookie,2023-10-05,Credit Card,In-store
230,TXN_1228927,1.5,2.0,3.0,Tea,2023-11-28,Credit Card,In-store
231,TXN_1229376,3.0,3.0,9.0,Cake,2023-08-14,Digital Wallet,In-store
232,TXN_1230311,3.0,3.0,9.0,Juice,2023-08-14,Digital Wallet,In-store
233,TXN_1231366,4.0,3.0,12.0,Sandwich,2023-11-28,Digital Wallet,Takeaway
234,TXN_1231531,2.0,5.0,10.0,Coffee,2023-07-24,Digital Wallet,In-store
235,TXN_1232346,5.0,5.0,25.0,Salad,2023-01-04,Digital Wallet,In-store
236,TXN_1234097,1.0,4.0,4.0,Cookie,2023-12-04,Cash,Takeaway
237,TXN_1234390,3.0,2.0,6.0,Cake,2023-06-02,Digital Wallet,Takeaway
238,TXN_1234907,3.0,1.0,3.0,Juice,2023-05-02,Credit Card,In-store
239,TXN_1235828,1.5,4.0,6.0,Tea,2023-02-19,Cash,Takeaway
240,TXN_1235969,1.0,1.0,1.0,Cookie,2023-07-08,Digital Wallet,Takeaway
241,TXN_1236759,2.0,1.0,2.0,Coffee,2023-01-26,Credit Card,In-store
242,TXN_1236779,3.0,3.0,9.0,Juice,2023-12-29,Credit Card,In-store
243,TXN_1237674,1.5,3.0,4.5,Tea,2023-10-04,Credit Card,In-store
244,TXN_1239021,4.0,5.0,20.0,Sandwich,2023-09-15,Credit Card,In-store
245,TXN_1239876,4.0,2.0,8.0,Sandwich,2023-04-04,Digital Wallet,In-store
246,TXN_1240476,3.0,2.0,6.0,Juice,2023-04-20,Digital Wallet,Takeaway
247,TXN_1242840,4.0,1.0,4.0,Smoothie,2023-08-26,Credit Card,In-store
248,TXN_1243964,1.5,3.0,4.5,Tea,2023-12-01,Digital Wallet,Takeaway
249,TXN_1244299,4.0,2.0,8.0,Sandwich,2023-07-18,Cash,Takeaway
250,TXN_1244509,4.0,3.0,12.0,Smoothie,2023-02-21,Credit Card,In-store
251,TXN_1244593,5.0,5.0,25.0,Salad,2023-04-11,Cash,In-store
252,TXN_1244739,5.0,2.0,10.0,Salad,2023-09-13,Credit Card,Takeaway
253,TXN_1245485,3.0,1.0,3.0,Cake,2023-05-15,Digital Wallet,Takeaway
254,TXN_1247244,4.0,1.0,4.0,Sandwich,2023-12-27,Digital Wallet,In-store
255,TXN_1248167,4.0,1.0,4.0,Sandwich,2023-03-05,Cash,In-store
256,TXN_1248266,5.0,3.0,15.0,Salad,2023-10-14,Credit Card,In-store
257,TXN_1248436,3.0,4.0,12.0,Cake,2023-08-14,Credit Card,Takeaway
258,TXN_1249069,2.0,2.0,4.0,Coffee,2023-01-22,Digital Wallet,Takeaway
259,TXN_1250407,1.0,1.0,1.0,Cookie,2023-11-21,Credit Card,Takeaway
260,TXN_1251960,4.0,5.0,20.0,Sandwich,2023-11-20,Digital Wallet,Takeaway
261,TXN_1252575,1.5,1.0,1.5,Tea,2023-10-16,Digital Wallet,Takeaway
262,TXN_1253619,3.0,5.0,15.0,Juice,2023-05-25,Digital Wallet,In-store
263,TXN_1254663,2.0,3.0,6.0,Coffee,2023-08-15,Digital Wallet,Takeaway
264,TXN_1255476,4.0,1.0,4.0,Smoothie,2023-08-28,Digital Wallet,In-store
265,TXN_1256513,2.0,4.0,8.0,Coffee,2023-02-21,Credit Card,In-store
266,TXN_1256536,5.0,1.0,5.0,Salad,2023-12-16,Cash,Takeaway
267,TXN_1256851,4.0,4.0,16.0,Sandwich,2023-07-29,Credit Card,In-store
268,TXN_1259340,1.5,3.0,4.5,Tea,2023-02-24,Digital Wallet,In-store
269,TXN_1259671,4.0,3.0,12.0,Sandwich,2023-10-08,Digital Wallet,In-store
270,TXN_1259824,1.0,5.0,5.0,Cookie,2023-04-29,Digital Wallet,Takeaway
271,TXN_1260335,1.0,4.0,4.0,Cookie,2023-04-29,Digital Wallet,In-store
272,TXN_1260517,4.0,5.0,20.0,Smoothie,2023-04-17,Digital Wallet,Takeaway
273,TXN_1261028,3.0,3.0,9.0,Juice,2023-10-27,Digital Wallet,In-store
274,TXN_1263426,4.0,2.0,8.0,Sandwich,2023-10-20,Credit Card,In-store
275,TXN_1266278,4.0,1.0,4.0,Smoothie,2023-11-03,Digital Wallet,Takeaway
276,TXN_1266598,3.0,4.0,12.0,Cake,2023-04-05,Digital Wallet,Takeaway
277,TXN_1267753,1.5,3.0,4.5,Tea,2023-06-28,Credit Card,In-store
278,TXN_1268480,5.0,5.0,25.0,Salad,2023-04-18,Cash,In-store
279,TXN_1268811,5.0,1.0,5.0,Salad,2023-01-04,Cash,In-store
280,TXN_1269172,4.0,1.0,4.0,Sandwich,2023-08-22,Cash,In-store
281,TXN_1269252,3.0,1.0,3.0,Cake,2023-07-18,Digital Wallet,Takeaway
282,TXN_1270603,3.0,4.0,12.0,Juice,2023-12-03,Credit Card,Takeaway
283,TXN_1272118,1.0,4.0,4.0,Cookie,2023-04-21,Credit Card,Takeaway
284,TXN_1272815,3.0,4.0,12.0,Juice,2023-08-07,Credit Card,In-store
285,TXN_1275124,2.0,3.0,6.0,Coffee,2023-06-21,Digital Wallet,Takeaway
286,TXN_1277813,3.0,5.0,15.0,Juice,2023-09-11,Digital Wallet,In-store
287,TXN_1277989,1.5,5.0,7.5,Tea,2023-08-09,Digital Wallet,In-store
288,TXN_1278539,1.5,1.0,1.5,Tea,2023-04-04,Credit Card,Takeaway
289,TXN_1279428,5.0,1.0,5.0,Salad,2023-03-02,Digital Wallet,In-store
290,TXN_1281536,4.0,5.0,20.0,Smoothie,2023-03-19,Digital Wallet,In-store
291,TXN_1282260,4.0,5.0,20.0,Sandwich,2023-07-21,Digital Wallet,In-store
292,TXN_1283149,5.0,2.0,10.0,Salad,2023-01-23,Credit Card,In-store
293,TXN_1285279,2.0,2.0,4.0,Coffee,2023-04-09,Cash,Takeaway
294,TXN_1286779,4.0,4.0,16.0,Smoothie,2023-04-13,Credit Card,In-store
295,TXN_1289133,3.0,1.0,3.0,Juice,2023-09-19,Cash,In-store
296,TXN_1292430,4.0,1.0,4.0,Smoothie,2023-03-09,Credit Card,Takeaway
297,TXN_1292476,3.0,4.0,12.0,Juice,2023-09-07,Digital Wallet,Takeaway
298,TXN_1293057,1.5,2.0,3.0,Tea,2023-07-03,Digital Wallet,In-store
299,TXN_1293509,3.0,3.0,9.0,Juice,2023-07-03,Cash,In-store
300,TXN_1294101,1.5,5.0,7.5,Tea,2023-03-31,Digital Wallet,Takeaway
301,TXN_1295824,1.5,1.0,1.5,Tea,2023-08-01,Credit Card,In-store
302,TXN_1296879,3.0,1.0,3.0,Cake,2023-11-17,Cash,Takeaway
303,TXN_1297663,4.0,5.0,20.0,Smoothie,2023-09-12,Credit Card,In-store
304,TXN_1298084,1.5,2.0,3.0,Tea,2023-01-02,Credit Card,Takeaway
305,TXN_1299936,2.0,1.0,2.0,Coffee,2023-03-27,Digital Wallet,Takeaway
306,TXN_1299959,4.0,5.0,20.0,Smoothie,2023-06-23,Cash,In-store
307,TXN_1302920,2.0,2.0,4.0,Coffee,2023-08-16,Digital Wallet,Takeaway
